_id,Mechanism of Action,References,Creation Date,Update Date
1,"Arsenic disrupts ATP production through several mechanisms. At the level of the citric acid cycle, arsenic inhibits pyruvate dehydrogenase and by competing with phosphate it uncouples oxidative phosphorylation, thus inhibiting energy-linked reduction of NAD+, mitochondrial respiration, and ATP synthesis. Hydrogen peroxide production is also increased, which might form reactive oxygen species and oxidative stress. (T1)","T1 - Klaassen C and Watkins J (2003). Casarett and Doull's Essentials of Toxicology.  New York, NY: McGraw-Hill. ",2009-04-14 21:08:34 UTC,2014-09-04 15:56:21 UTC
2,Arsenic binds to hemoglobin. (A15),"A15 - Naranmandura H, Suzuki KT: Identification of the major arsenic-binding protein in rat plasma as the ternary dimethylarsinous-hemoglobin-haptoglobin complex. Chem Res Toxicol. 2008 Mar;21(3):678-85. doi: 10.1021/tx700383g. Epub 2008 Feb 2. (18247522)",2009-04-14 21:08:35 UTC,2014-09-04 15:56:23 UTC
3,Arsenic binds to haptoglobin. (A15),"A15 - Naranmandura H, Suzuki KT: Identification of the major arsenic-binding protein in rat plasma as the ternary dimethylarsinous-hemoglobin-haptoglobin complex. Chem Res Toxicol. 2008 Mar;21(3):678-85. doi: 10.1021/tx700383g. Epub 2008 Feb 2. (18247522)",2009-04-14 21:08:35 UTC,2014-09-04 16:11:48 UTC
4,Arsenic binds to the estrogen receptor. (A17),"A17 - Kitchin KT, Wallace K: The role of protein binding of trivalent arsenicals in arsenic carcinogenesis and toxicity. J Inorg Biochem. 2008 Mar;102(3):532-9. doi: 10.1016/j.jinorgbio.2007.10.021. Epub 2007 Nov 22. (18164070)",2009-04-14 21:08:35 UTC,2014-09-04 15:56:33 UTC
5,Arsenic binds to the glucocorticoid receptor. (A17),"A17 - Kitchin KT, Wallace K: The role of protein binding of trivalent arsenicals in arsenic carcinogenesis and toxicity. J Inorg Biochem. 2008 Mar;102(3):532-9. doi: 10.1016/j.jinorgbio.2007.10.021. Epub 2007 Nov 22. (18164070)",2009-04-14 21:08:35 UTC,2014-09-04 15:56:49 UTC
6,"Arsenic binds glutathione reductase, which results in the inhibition of essential biochemical reactions, alteration of cellular redox status, and eventual cytotoxicity. (L2)",L2 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for arsenic. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp2.html),2009-04-14 21:08:35 UTC,2014-09-04 15:56:52 UTC
7,Arsenic binds to kelch-like ECH-associated protein 1. (A17),"A17 - Kitchin KT, Wallace K: The role of protein binding of trivalent arsenicals in arsenic carcinogenesis and toxicity. J Inorg Biochem. 2008 Mar;102(3):532-9. doi: 10.1016/j.jinorgbio.2007.10.021. Epub 2007 Nov 22. (18164070)",2009-04-14 21:08:35 UTC,2014-09-04 15:56:58 UTC
8,Arsenic binding of PARP-1 is believed to induce carcinogenesis by affecting DNA repair. (A17),"A17 - Kitchin KT, Wallace K: The role of protein binding of trivalent arsenicals in arsenic carcinogenesis and toxicity. J Inorg Biochem. 2008 Mar;102(3):532-9. doi: 10.1016/j.jinorgbio.2007.10.021. Epub 2007 Nov 22. (18164070)",2009-04-14 21:08:35 UTC,2014-09-04 15:57:00 UTC
9,"Arsenic's carginogenicity is believed to be caused by the arsenical binding of tubulin, which results in aneuploidy, polyploidy and mitotic arrests. (A17)","A17 - Kitchin KT, Wallace K: The role of protein binding of trivalent arsenicals in arsenic carcinogenesis and toxicity. J Inorg Biochem. 2008 Mar;102(3):532-9. doi: 10.1016/j.jinorgbio.2007.10.021. Epub 2007 Nov 22. (18164070)
A9735 - Zhang X, Yang F, Shim JY, Kirk KL, Anderson DE, Chen X: Identification of arsenic-binding proteins in human breast cancer cells. Cancer Lett. 2007 Sep 18;255(1):95-106. Epub 2007 May 17. (17499915)",2009-04-14 21:08:35 UTC,2014-09-04 16:05:00 UTC
10,"Arsenic binds thioredoxin reductase, which results in the inhibition of essential biochemical reactions, alteration of cellular redox status, and eventual cytotoxicity. (L2)",L2 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for arsenic. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp2.html),2009-04-14 21:08:35 UTC,2014-09-04 16:09:38 UTC
